#species	spid	lineage
Arabidopsis thaliana	ath	Angiosperm
Amborella trichopoda	atr	Angiosperm
Brachypodium distachyon	bdi	Angiosperm
Medicago truncatula	mtr	Angiosperm
Oryza sativa	osa	Angiosperm
Populus trichocarpa	ptr	Angiosperm
Setaria italica	sit	Angiosperm
Solanum lycopersicum	sly	Angiosperm
Vitis vinifera	vvi	Angiosperm
Zea mays	zma	Angiosperm
Anthoceros agrestis	aag	Bryophyte
Marchantia polymorpha	mpo	Bryophyte
Pohlia nutans	pnu	Bryophyte
Physcomitrium patens	ppa	Bryophyte
Adiantum capillus-veneris	aca	Homosporous_Fern
Azolla filiculoides	afi	Heterosporous_Fern
Adiantum nelumboides	ane	Homosporous_Fern
Alsophila spinulosa	asp	Homosporous_Fern
Ceratopteris richardii	cri	Homosporous_Fern
Marsilea vestita	mve	Heterosporous_Fern
Salvinia cucullata	scu	Heterosporous_Fern
Cycas panzhihuaensis	cpa	Gymnosperm
Ginkgo biloba	gbi	Gymnosperm
Gnetum montanum	gmo	Gymnosperm
Taxus chinensis	tch	Gymnosperm
Isoetes taiwanensis	ita	Lycophyte
Lycopodium clavatum	lcl	Lycophyte
Selaginella moellendorffii	smo	Lycophyte
Diphasiastrum complanatum	dco	Lycophyte
Huperzia asiatica	has	Lycophyte
Selaginella lepidophylla	sle	Lycophyte
Selaginella tamariscina	sta	Lycophyte
Anthoceros punctatus	apu	Bryophyte
Anthoceros angustus	aan	Bryophyte
Ceratodon purpureas	cpu	Bryophyte
Sphagnum fallax	sfa	Bryophyte
Sphagnum magellanicum	sma	Bryophyte
