Name	Genome ID	lineage
Arabidopsis thaliana	ath	angio
Amborella trichopoda	atr	angio
Brachypodium distachyon	bdi	angio
Medicago truncatula	mtr	angio
Oryza sativa Japonica Group	osa	angio
Populus trichocarpa	ptr	angio
Setaria italica	sit	angio
Solanum lycopersicum	sly	angio
Vitis vinifera	vvi	angio
Zea mays	zma	angio
Anthoceros agrestis	aag	bryo
Marchantia polymorpha	mpo	bryo
Pohlia nutans	pnu	bryo
Physcomitrium patens	ppa	bryo
Anthroceros punctatus	apu	bryo
Anthroceros angustus	aan	bryo
Ceratodon purpureas	cpu	bryo
Sphagnum fallax	sfa	bryo
Sphagnum magellanicum	sma	bryo
Adiantum capillus-veneris	aca	fern
Azolla filiculoides	afi	fern
Adiantum nelumboides	ane	fern
Alsophila spinulosa	asp	fern
Ceratopteris richardii	cri	fern
Marsilea vestita	mve	fern
Salvinia cucullata	scu	fern
Cycas panzhihuaensis	cpa	gymno
Ginkgo biloba	gbi	gymno
Gnetum montanum	gmo	gymno
Taxus chinensis	tch	gymno
Isoetes taiwanensis	ita	lyco
Lycopodium clavatum	lcl	lyco
Selaginella moellendorffii	smo	lyco
Selaginella lepidophylla	sle	lyco
Selaginella tamariscina	sta	lyco
Diphasiastrum complanatum	dco	lyco
Huperzia asiatica	has	lyco
